MAHOUT_LOCAL is not set; adding HADOOP_CONF_DIR to classpath.
Running on hadoop, using /usr/hdp/2.3.0.0-2525/hadoop/bin/hadoop and HADOOP_CONF_DIR=/usr/hdp/2.3.0.0-2525/hadoop/conf
MAHOUT-JOB: /usr/hdp/2.3.0.0-2525/mahout/mahout-examples-0.9.0.2.3.0.0-2525-job.jar
Input Path: /user/ec2-user/benchmarks/bigbench/temp/q28_hive_POWER_TEST_IN_PROGRESS_0_temp/result/part-m-00000
Key class: class org.apache.hadoop.io.Text Value Class: class org.apache.mahout.math.VectorWritable
Key: NEG: Value: {0:-1489.9735790704815,1:-1507.4091986140747,2:-1451.7784709646778}
Key: NEG: Value: {0:-3600.576587890927,1:-3675.165097340754,2:-3509.8063291053104}
Key: NEG: Value: {0:-2259.5465540663163,1:-2327.5044672146346,2:-2207.165675594436}
Key: NEG: Value: {0:-585.8036736961748,1:-560.0935766825048,2:-555.2641758731312}
Key: NEG: Value: {0:-1050.321403084255,1:-993.3408398941034,2:-997.97920404316}
Key: NEG: Value: {0:-13622.925955356375,1:-13852.15864869715,2:-13477.787105500402}
Key: NEG: Value: {0:-3113.1699973725717,1:-3079.367364464346,2:-3038.42996105796}
Key: NEG: Value: {0:-4407.336075532521,1:-4410.174038566149,2:-4315.156497473341}
Key: NEG: Value: {0:-1927.642770001409,1:-1966.5684446357996,2:-1912.694262615743}
Key: NEG: Value: {0:-3380.0619133371843,1:-3453.2442116974844,2:-3317.154669967804}
Key: NEG: Value: {0:-4824.8377369625105,1:-4969.12072128774,2:-4825.364057185506}
Key: NEG: Value: {0:-4622.59809122922,1:-4704.959832951215,2:-4544.60124508853}
Key: NEG: Value: {0:-764.7100123161008,1:-788.1050607596699,2:-767.2887418522779}
Key: NEG: Value: {0:-2154.983720449955,1:-2154.6717166953526,2:-2108.569415000686}
Key: NEG: Value: {0:-7184.405307083231,1:-7265.734582991142,2:-7063.269132334603}
Key: NEG: Value: {0:-9404.233932748422,1:-9488.61184494603,2:-9116.26570872492}
Key: NEG: Value: {0:-834.2153208830771,1:-814.4980526807993,2:-797.8546622482324}
Key: NEG: Value: {0:-2560.4719229277903,1:-2572.1841377445394,2:-2535.0103491529812}
Key: NEG: Value: {0:-1088.2434682179364,1:-1081.2182531716487,2:-1069.9832950983362}
Key: NEG: Value: {0:-6725.14817385016,1:-6910.272729343375,2:-6627.355354415279}
Key: NEG: Value: {0:-1493.9524892726238,1:-1497.8928389938335,2:-1470.717341155844}
Key: NEG: Value: {0:-4041.9279542009613,1:-4050.7747585306124,2:-3922.558306847713}
Key: NEG: Value: {0:-665.7134127958004,1:-678.1349227438874,2:-671.3262716066318}
Key: NEG: Value: {0:-2206.926828245745,1:-2202.557524880279,2:-2135.9279876716564}
Key: NEG: Value: {0:-1714.3889578642568,1:-1792.7735454282192,2:-1717.24319333872}
Key: NEG: Value: {0:-341.8531126700579,1:-346.3073247083712,2:-329.8253921632459}
Key: NEG: Value: {0:-13602.921520130565,1:-13500.705633927351,2:-13180.34584223292}
Key: NEG: Value: {0:-3444.8109056449343,1:-3420.3751408550843,2:-3395.337807955781}
Key: NEG: Value: {0:-2962.1880873156924,1:-2995.11952447685,2:-2881.659340104572}
Key: NEG: Value: {0:-212.71883113279318,1:-232.4716762102568,2:-212.26497873516553}
Key: NEG: Value: {0:-3692.910843797025,1:-3610.0361419412247,2:-3481.0867483751013}
Key: NEG: Value: {0:-11235.511884329204,1:-11168.726277648093,2:-10964.580655168624}
Key: NEG: Value: {0:-6631.937728087408,1:-6680.391267823194,2:-6414.532967034338}
Key: NEG: Value: {0:-13197.992696092557,1:-13472.244557906699,2:-12960.92506001904}
Key: NEG: Value: {0:-5596.197610989202,1:-5750.809661676962,2:-5423.788067765033}
Key: NEG: Value: {0:-3123.098283711063,1:-3016.487572674193,2:-3000.5404271871084}
Key: NEG: Value: {0:-2727.2014758629716,1:-2823.7732441521525,2:-2693.108683751691}
Key: NEG: Value: {0:-4381.553826016357,1:-4460.225311719239,2:-4262.242804485599}
Key: NEG: Value: {0:-1144.5326767164124,1:-1144.5000497014973,2:-1128.5596269608955}
Key: NEG: Value: {0:-4563.99433095707,1:-4550.61465274698,2:-4450.117898309588}
Key: NEG: Value: {0:-1193.726151133759,1:-1185.4579187809184,2:-1149.2164198778125}
Key: NEG: Value: {0:-4580.025805494909,1:-4543.949402519761,2:-4423.184040784708}
Key: NEG: Value: {0:-2854.8584165279594,1:-2959.9772696095,2:-2733.8794787813113}
Key: NEG: Value: {0:-2823.4847758496862,1:-2765.2074283194265,2:-2660.5231397539637}
Key: NEG: Value: {0:-1091.2790205727363,1:-1040.7474189711932,2:-1043.6981707505095}
Key: NEG: Value: {0:-664.8326044799022,1:-695.6753928761993,2:-678.2747718871669}
Key: NEG: Value: {0:-2285.1586095319226,1:-2262.7780114825828,2:-2212.097357156218}
Key: NEG: Value: {0:-5459.196407546963,1:-5416.5365618084825,2:-5282.160275611424}
Key: NEG: Value: {0:-3037.361305238108,1:-3033.6474732773077,2:-2949.2519209073284}
Key: NEG: Value: {0:-1226.7436717975377,1:-1280.1177458993807,2:-1208.7093483494375}
Key: NEG: Value: {0:-1061.6448200855486,1:-1105.055344381483,2:-1010.888737659761}
Key: NEG: Value: {0:-1064.1941434665646,1:-1099.98987420679,2:-1059.6755351205054}
Key: NEG: Value: {0:-11366.228407454695,1:-11338.287611559661,2:-11025.08405237975}
Key: NEG: Value: {0:-10145.958146047527,1:-10366.015136603854,2:-9964.883264725817}
Key: NEG: Value: {0:-4849.761638371943,1:-4915.942647790731,2:-4720.458591932221}
Key: NEG: Value: {0:-553.323353006774,1:-565.5700012218332,2:-553.0412592508486}
Key: NEG: Value: {0:-16513.449889867697,1:-16786.138695743597,2:-16183.755786083357}
Key: NEG: Value: {0:-5170.379389871369,1:-5246.225333003781,2:-5101.359887799988}
Key: NEG: Value: {0:-4227.781130376412,1:-4182.247006591447,2:-4059.7634549785207}
Key: NEG: Value: {0:-754.309913409731,1:-715.7538154702096,2:-682.2424605363738}
Key: NEG: Value: {0:-1027.0486774449353,1:-1051.0470283025772,2:-1009.2834177133}
Key: NEG: Value: {0:-830.4157663640732,1:-894.8137499363359,2:-829.1894756654086}
Key: NEG: Value: {0:-2817.4874851885465,1:-2851.342786954803,2:-2743.462333528026}
Key: NEG: Value: {0:-4629.220861034148,1:-4685.530792659364,2:-4474.129578223536}
